fill	x	y	tooltip
#FFFFFF	0.710955136524284	0.432947786960077	LEXINGTON 2.3 SSW
#FFFFFF	0.744561590950809	0.428914137695073	SOMERVILLE DAM
#FFFFFF	0.766568867309246	0.419081584624145	WASHINGTON 8.6 SSW
#FFFFFF	0.802966049354541	0.433527677340669	MONTGOMERY
#FFFFFF	0.817792222634407	0.420360754581335	CONROE
#FFFFFF	0.845221681934524	0.426688381969564	COLDSPRINGS
#FFFFFF	0.905232713061716	0.42339665127973	LUMBERTON 1.2 WNW
#FFFFFF	0.928555717081607	0.437151992219372	KIRBYVILLE
#FFFFFF	0.154540833377514	0.459656855666188	BOSQUE BONITA
#FFFFFF	0.171125926794271	0.457217904947814	VALENTINE 20 WNW
#D9EDFF	0.226372638810512	0.460347607443071	MOUNT LOCKE
#B8DEFF	0.236005150268846	0.448400160042923	FORT DAVIS 1.7 SSE
#FFFFFF	0.341187189478507	0.447956714457764	FORT STOCKTON 38 SE
#FFFFFF	0.459948923130868	0.449926636191836	SONORA
#FFFFFF	0.532708662809314	0.448766855430651	JUNCTION 11.6 ENE
#FFFFFF	0.557749037671525	0.464125422716636	MASON 0.4 W
#FFFFFF	0.575144342332442	0.452604365302218	MASON 17.3 ESE
#FFFFFF	0.597345515398883	0.464074255918348	LLANO 0.5 ESE
#FFFFFF	0.615945749602396	0.451325195345029	HIGHLAND HAVEN 1.3 SW
#FFFFFF	0.637405960248965	0.452638476501077	BERTRAM 9.1 SSW
#FFFFFF	0.656892579403353	0.453209839081955	GEORGETOWN 7.4 WSW
#FFFFFF	0.683948095052319	0.450037497588125	TAYLOR 1 NW
#FFFFFF	0.703912531094287	0.451802752129046	THORNDALE 4.7 E
#FFFFFF	0.725421215917857	0.456262791379779	MILANO 4.3 SE
#FFFFFF	0.754955839476302	0.461072470418811	BRYAN 3.5 NNW
#FFFFFF	0.823526025285378	0.438576134771709	HUNTSVILLE
#FFFFFF	0.845928019942252	0.459759189262763	LIVINGSTON 8.4 W
#FFFFFF	0.854805719215856	0.4576187115344	LIVINGSTON 2.6 SSW
#FFFFFF	0.889617103184977	0.445799181129972	WILDWOOD
#FFFFFF	0.896853605322978	0.446276737913989	SOUTHERN ROUGH
#FFFFFF	0.928431069197892	0.454821593228013	KIRBYVILLE 1.5 SE
#F3F9FF	0.138038838549899	0.482613692497878	SIERRA BLANCA 14.7 SSE
#FFFFFF	0.148523110546966	0.479603379198626	FRENCHMAN CANYON
#FFFFFF	0.17001102072325	0.489035125682968	VAN HORN
#FFFFFF	0.303100336120608	0.477565235066838	FORT STOCKTON
#FFFFFF	0.345653738645025	0.475910841922206	BAKERSFIELD
#FFFFFF	0.366518409402726	0.470615078299443	IRAAN 8.4 SW
#FFFFFF	0.42480514480517	0.484251030043081	BARNHART
#FFFFFF	0.497343288245897	0.470768578694306	FORT MCKAVETT
#FFFFFF	0.519772982432485	0.477326456674829	MENARD
#FFFFFF	0.618341758922729	0.47246561083751	BUCHANAN DAM 7.4 NNE
#FFFFFF	0.642343401420635	0.465037897286098	BERTRAM 3 ENE
#FFFFFF	0.676441522499598	0.479458406603478	SALADO 1.5 S
#FFFFFF	0.695145629939541	0.487730372326635	TEMPLE 8.1 SE
#FFFFFF	0.727574854353185	0.470043715718565	GAUSE 4.5 WNW
#FFFFFF	0.787495862008805	0.480294130975508	MADISONVILLE
#FFFFFF	0.811338232210851	0.464901452490664	HUNTSVILLE 3.6 NNW
#FFFFFF	0.821898677914631	0.485871311988853	TRINITY 5.1 NW
#FFFFFF	0.843158066970768	0.468969212954526	ONALASKA 0.6 WSW
#FFFFFF	0.907878018149483	0.467835015592485	TOWN BLUFF DAM
#FFFFFF	0.145538486220191	0.493273442141122	DEAN WALKER RANCH
#D2EAFF	0.154464659670797	0.509902651584582	LC RANCH
#FFFFFF	0.176956677799244	0.490706574427029	VAN HORN 6.0 ENE
#FFFFFF	0.351131320646134	0.496829534622108	MCCAMEY
#FFFFFF	0.403705028044893	0.502534632631172	BIG LAKE 2
#FFFFFF	0.458425448996551	0.506517115097888	KNICKERBOCKER 3.2 SW
#FFFFFF	0.515410306502398	0.504308414971808	EDEN
#FFFFFF	0.550602559005098	0.506517115097888	BRADY 8.1 NNE
#FFFFFF	0.600918754732098	0.506158947509875	SAN SABA 7.3 ENE
#FFFFFF	0.608833895348112	0.489930544653001	COLORADO BEND
#FFFFFF	0.665825677736387	0.491960160985074	HARKER HEIGHTS 1.7 NW
#FFFFFF	0.679952437890954	0.496044977048365	BELTON 3.9 N
#FFFFFF	0.702576028785546	0.49983984792136	LOTT 7.2 WSW
#FFFFFF	0.721148563459344	0.511599683727787	MARLIN 0.9 ESE
#FFFFFF	0.820008185011594	0.511676433925218	CROCKETT
#FFFFFF	0.867658301003541	0.511352377536063	LUFKIN 3.0 SW
#FFFFFF	0.913473323151879	0.490757741225317	SAM RAYBURN DAM
#FFFFFF	0.931651139527241	0.509382455801992	SABINE SOUTH
#FFFFFF	0.948222383179142	0.498356010771021	BURKEVILLE 11.2 NNE
#D9EDFF	0.0939550370087376	0.516562863161681	ACALA 2.4 NW
#FFFFFF	0.341706555660661	0.520204233639813	CRANE 2 E
#FFFFFF	0.416052093415281	0.530957789079917	COPE RANCH
#FFFFFF	0.444174040958268	0.522694351156475	MERTZON 12 NNW
#FFFFFF	0.469207490938052	0.523649464724509	SAN ANGELO 3.8 W
#FFFFFF	0.493984720267973	0.528859950350127	MILES 6.5 SSE
#FFFFFF	0.528567583116945	0.528638227557547	COLEMAN
#FFFFFF	0.602601501162274	0.523026935345344	GOLDTHWAITE 1 WSW
#FFFFFF	0.681392813436125	0.530957789079917	CRAWFORD
#FFFFFF	0.703019221260984	0.533874296582309	WACO 2.5 E
#FFFFFF	0.742809595696345	0.518882424684051	THORNTON 1 SSE
#FFFFFF	0.795390227977534	0.539494116594227	OAKWOOD 4.2 NE
#FFFFFF	0.841800790014741	0.519163842074632	RATCLIFF
#FFFFFF	0.858552080609788	0.521884210183588	LUFKIN 11 NW
#FFFFFF	0.889367807417543	0.517722643922866	ETOILE 0.9 SW
#FFFFFF	0.913050905323728	0.528706449955264	SAN AUGUSTINE
#BBE0FF	0.055521939529403	0.552874234346426	EL PASO 5.1 SW
#BCE0FF	0.0690323851478141	0.551518314191806	EL PASO 11.3 ENE
#FFFFFF	0.143641068434725	0.564199152367409	DELL CITY 1.4 SW
#FFFFFF	0.172739424400161	0.56175167384932	PINERY
#FFFFFF	0.332842706151914	0.557530412990595	ODESSA 8.3 WSW
#FFFFFF	0.341651156601232	0.556831133413999	ODESSA 1 SE
#FFFFFF	0.361213949462335	0.558144414570046	MIDLAND 12.1 S
#FFFFFF	0.380028855021137	0.54965072605431	MIDLAND 25.7 SE
#FFFFFF	0.43724915852956	0.557641274386885	STERLING CITY 0.7 NE
#FFFFFF	0.46787791351174	0.560830671480144	ROBERT LEE 4 WSW
#FFFFFF	0.506615705817938	0.548704140285989	BALLINGER 2 NW
#FFFFFF	0.577997393893071	0.548439778494837	BROWNWOOD 2 ENE
#FFFFFF	0.655708424508043	0.556157437236546	MERIDIAN 12.3 WSW
#FFFFFF	0.686759597318375	0.55891191654436	WHITNEY DAM
#FFFFFF	0.698088704971743	0.557206356601441	AQUILLA 1 SSE
#FFFFFF	0.802550556408818	0.552626928154703	PALESTINE 3.9 WNW
#FFFFFF	0.884215694890584	0.545045714208428	NACOGDOCHES 9.5 NE
#FFFFFF	0.909103722339365	0.554341015897337	CENTER
#EEF7FF	0.366483784990582	0.570757030347932	MIDLAND
#FFFFFF	0.497578734248473	0.574543373421213	WINGATE
#FFFFFF	0.536565822322105	0.566919520476364	SILVER VALLEY
#FFFFFF	0.5557408217672	0.584665871682437	CROSS PLAINS 6.5 WNW
#FFFFFF	0.601029552850957	0.579267774463098	DE LEON 4.5 W
#FFFFFF	0.609256313176263	0.567627327852676	PROCTOR RESERVOIR
#FFFFFF	0.627420279786767	0.590490358887505	STEPHENVILLE 1 N
#FFFFFF	0.670271452255618	0.571942394508261	MORGAN
#FFFFFF	0.702880723612409	0.584375926492141	ITASCA
#FFFFFF	0.745074032250533	0.575805487778972	CORSICANA 4.3 WSW
#FFFFFF	0.758397506043369	0.579796498045403	POWELL 1.0 SW
#FFFFFF	0.786761824471362	0.576956740740443	ATHENS 10.1 SSW
#FFFFFF	0.798174030713875	0.589611995516902	ATHENS
#FFFFFF	0.833470156453004	0.582363365759496	BULLARD 3.7 E
#FFFFFF	0.865075319857632	0.583548729919825	HENDERSON
#FFFFFF	0.89051733790071	0.572726952082004	GARY CITY 3.8 W
#FFFFFF	0.89695055367698	0.584520899087289	CARTHAGE
#FFFFFF	0.327662894095239	0.597380821056898	ANDREWS 2
#FFFFFF	0.468528852460039	0.608970100869032	ROSCOE
#FFFFFF	0.49651922723688	0.598020406035492	MERKEL 12 SW
#FFFFFF	0.512875799533491	0.615817924039852	MERKEL 8.5 ENE
#FFFFFF	0.531524507914005	0.613396028920907	HAMBY
#FFFFFF	0.560899859176588	0.602002888502208	PUTNAM
#FFFFFF	0.5751581920973	0.608603405481305	CISCO 4.1 N
#FFFFFF	0.642918166662218	0.596169873497425	BLUFF DALE 3.7 SSE
#FFFFFF	0.65631781416177	0.603930171237707	GRANBURY 3.9 SSW
#FFFFFF	0.680478728955536	0.608415793887584	JOSHUA 5.2 WSW
#FFFFFF	0.691468517369897	0.599751549377555	CLEBURNE 5.8 E
#FFFFFF	0.717242929769552	0.608347571489867	MIDLOTHIAN 5.2 SE
#FFFFFF	0.743045041698921	0.610948550402818	ENNIS 10.0 NNE
#FFFFFF	0.758799149224235	0.605431063987475	GRAYS PRAIRIE 4.6 S
#FFFFFF	0.784151143795739	0.617523483982771	CANTON 6.1 W
#FFFFFF	0.800542340504493	0.60922593486047	BEN WHEELER 1.7 WNW
#FFFFFF	0.830665579069377	0.596911792072595	TYLER
#FFFFFF	0.870809122508603	0.611050883999393	LONGVIEW
#FFFFFF	0.879693746664637	0.614342614689227	HALLSVILLE 1 W
#FFFFFF	0.904526375053988	0.60827934909215	MARSHALL 9.7 SE
#FFFFFF	0.320800335608388	0.631568770112709	SEMINOLE
#FFFFFF	0.3702509210318	0.632395966685025	LAMESA 1 SSE
#DFF0FF	0.441888829756794	0.631304408321557	SNYDER
#FFFFFF	0.55337943685901	0.630852434936683	ALBANY
#FFFFFF	0.659406311724974	0.634570555612247	WEATHERFORD
#FFFFFF	0.670098330194901	0.628021205431438	ALEDO 1.8 SSW
#FFFFFF	0.699286709631909	0.642057963761661	HURST 0.8 W
#FFFFFF	0.718157014250141	0.62787623283629	DUNCANVILLE 1.7 NNW
#FFFFFF	0.737595159227527	0.636497838347745	MESQUITE 2.4 W
#FFFFFF	0.757144102323773	0.624277501356731	TERRELL 8.2 SSW
#FFFFFF	0.780937998348817	0.630613656544675	WILLS POINT
#FFFFFF	0.807453373168345	0.618359208354802	VAN 2.4 N
#FFFFFF	0.814696800188774	0.641043155595624	LAKE FORK RESERVOIR
#FFFFFF	0.83789515632495	0.632796773271611	HOLLY LAKE RANCH
#FFFFFF	0.85505501498329	0.630596600945246	GILMER
#FFFFFF	0.912413816140287	0.626895535869111	CADDO LAKE
#FFFFFF	0.309568176309022	0.652785935802622	DENVER CITY
#FFFFFF	0.432346341770033	0.661509874910652	LAKE ALAN HENRY
#FFFFFF	0.473050800685985	0.643720884706007	ROTAN
#FFFFFF	0.520853264091364	0.650696624872546	STAMFORD 2.4 E
#FFFFFF	0.523332372000841	0.668801143666631	HASKELL
#FFFFFF	0.558822394447975	0.649519788511932	FORT GRIFFIN
#FFFFFF	0.605392228781044	0.64324332792199	POSSUME KINGDOM
#FFFFFF	0.635065349988062	0.655037274927275	GRAFORD 8.1 ENE
#FFFFFF	0.66007110043813	0.658235199820248	SPRINGTOWN 6.0 NW
#FFFFFF	0.68549926871635	0.655020219327846	HASLET 3.7 WNW
#FFFFFF	0.696586005484713	0.656461417479612	ROANOKE
#FFFFFF	0.7240085399024	0.660631511540049	PLANO 5.3 W
#FFFFFF	0.73962414977914	0.656077666492455	MURPHY 0.9 SSW
#FFFFFF	0.77062684841247	0.659045340793134	GREENVILLE
#FFFFFF	0.789843397152138	0.643430939515711	LAKE TAWAKONI
#FFFFFF	0.795023209208812	0.660750900736054	CUMBY 5.6 SSE
#FFFFFF	0.821074616905615	0.647072309993843	QUITMAN 6.9 N
#FFFFFF	0.865075319857632	0.656035027493882	LINDEN
#FFFFFF	0.895025436361798	0.657408003247932	LINDEN
#FFFFFF	0.908972149573219	0.666643610338839	ATLANTA
#FFFFFF	0.309138833598442	0.671973485160461	PLAINS
#FFFFFF	0.347918175199213	0.67230606934933	BROWNFIELD 2
#FFFFFF	0.390914770199067	0.693275928847519	SLATON
#FFFFFF	0.409805849464586	0.672971237727068	POST
#FFFFFF	0.465336481660403	0.677729749967812	JAYTON
#D4EBFF	0.488825682858584	0.66903992205864	ASPERMONT
#FFFFFF	0.655133659266461	0.675222576851721	LAKE BRIDGEPORT DAM
#FFFFFF	0.672778259694811	0.67934150411387	DECATUR
#FFFFFF	0.698441873975607	0.685916437693823	SANGER 1.8 WSW
#FFFFFF	0.722768985947661	0.68123467565051	CELINA 4.4 WSW
#FFFFFF	0.745558774020543	0.676791691999207	MCKINNEY 7.3 NE
#FFFFFF	0.775169571285703	0.670344675414973	GREENVILLE KGVL RADIO
#FFFFFF	0.803215345121975	0.687963109625326	COOPER
#FFFFFF	0.848711822678593	0.681439342843661	MOUNT PLEASANT 9.8 NNW
#FFFFFF	0.909512290402658	0.681951010826536	WRIGHT PATMAN DAM AND LAKE
#FFFFFF	0.917316632899814	0.687920470626753	TEXARKANA
#FFFFFF	0.313951626886395	0.717290212843818	MORTON
#FFFFFF	0.340460076823493	0.702937925924155	LEVELLAND
#FFFFFF	0.370929559509813	0.705547432636821	LUBBOCK 3.5 W
#FFFFFF	0.388961953354172	0.701326171778097	RANSOM CANYON 0.4 ENE
#FFFFFF	0.429327093031116	0.69493032199215	WHITE RIVER RESERVOIR
#FFFFFF	0.445295871911719	0.706758380196293	DICKENS 2.4 SW
#FFFFFF	0.481651504662442	0.709478748305249	GUTHRIE
#FFFFFF	0.51937133925162	0.705521849237677	BENJAMIN 0.2 SSE
#FFFFFF	0.530160306075549	0.69441012620956	MUNDAY 1 W
#FFFFFF	0.554168873455883	0.709973360688696	SEYMOUR
#FFFFFF	0.610911360076725	0.712599923000791	SCOTLAND
#FFFFFF	0.65406030249001	0.703031731721015	BOWIE
#FFFFFF	0.686628024552229	0.712011504820484	MUENSTER
#FFFFFF	0.708628376028237	0.71113314144988	GAINESVILLE 5 ENE
#FFFFFF	0.723080605656954	0.718228270812424	SADLER 3.2 N
#FFFFFF	0.736611825922651	0.711840948826192	SHERMAN 3.6 NW
#FFFFFF	0.766485768720102	0.711823893226763	RAVENNA 1.7 SE
#FFFFFF	0.787385063889946	0.719234551178746	CADDO
#FFFFFF	0.839681775991556	0.70881357992751	CLARKSVILLE
#FFFFFF	0.892158535036313	0.694810932796146	NEW BOSTON
#FFFFFF	0.312587425047939	0.737424347969977	MULESHOE NWR
#FFFFFF	0.37631019315692	0.727668545096481	ABERNATHY
#FFFFFF	0.412610426848213	0.740033854682643	FLOYDADA
#FFFFFF	0.418669698973334	0.730747080793449	FLOYDADA 9 SE
#FFFFFF	0.445406670030579	0.732640252330089	ROARING SPRINGS
#FFFFFF	0.469186716290765	0.725059038383814	DUMONT
#FFFFFF	0.484338359044781	0.724965232586954	PADUCAH 15 S
#EFF7FF	0.516483663278848	0.722304559076	TRUSCOTT 2.7 NW
#FFFFFF	0.536780493677394	0.740016799083214	CROWELL 10.5 E
#FFFFFF	0.564244577389655	0.720351692941358	LAKE KEMP
#FFFFFF	0.601867463624831	0.729450855236831	WICHITA FALLS 7.2 WSW
#FFFFFF	0.605828496374052	0.728853909256809	WICHITA FALLS 3.4 SSW
#FFFFFF	0.667522273931421	0.728282546675931	BONITA 4 NW
