x	y	label	showSelected
0.504981433564763	0.954545454545455	2015-01-01	2015-01-01
0.504981433564763	0.954545454545455	2015-01-08	2015-01-08
0.504981433564763	0.954545454545455	2015-01-15	2015-01-15
0.504981433564763	0.954545454545455	2015-01-22	2015-01-22
0.504981433564763	0.954545454545455	2015-01-29	2015-01-29
0.504981433564763	0.954545454545455	2015-02-05	2015-02-05
0.504981433564763	0.954545454545455	2015-02-12	2015-02-12
0.504981433564763	0.954545454545455	2015-02-19	2015-02-19
0.504981433564763	0.954545454545455	2015-02-26	2015-02-26
0.504981433564763	0.954545454545455	2015-03-05	2015-03-05
0.504981433564763	0.954545454545455	2015-03-12	2015-03-12
0.504981433564763	0.954545454545455	2015-03-19	2015-03-19
0.504981433564763	0.954545454545455	2015-03-26	2015-03-26
0.504981433564763	0.954545454545455	2015-04-02	2015-04-02
0.504981433564763	0.954545454545455	2015-04-09	2015-04-09
0.504981433564763	0.954545454545455	2015-04-16	2015-04-16
0.504981433564763	0.954545454545455	2015-04-23	2015-04-23
0.504981433564763	0.954545454545455	2015-04-30	2015-04-30
0.504981433564763	0.954545454545455	2015-05-07	2015-05-07
0.504981433564763	0.954545454545455	2015-05-14	2015-05-14
0.504981433564763	0.954545454545455	2015-05-21	2015-05-21
0.504981433564763	0.954545454545455	2015-05-28	2015-05-28
0.504981433564763	0.954545454545455	2015-06-04	2015-06-04
0.504981433564763	0.954545454545455	2015-06-11	2015-06-11
0.504981433564763	0.954545454545455	2015-06-18	2015-06-18
0.504981433564763	0.954545454545455	2015-06-25	2015-06-25
0.504981433564763	0.954545454545455	2015-07-02	2015-07-02
0.504981433564763	0.954545454545455	2015-07-09	2015-07-09
0.504981433564763	0.954545454545455	2015-07-16	2015-07-16
0.504981433564763	0.954545454545455	2015-07-23	2015-07-23
0.504981433564763	0.954545454545455	2015-07-30	2015-07-30
