x	y	clickSelects	tooltip
0.683816522286173	0.0464469801015264	US1TXCMR008	BROWNSVILLE
0.633998918094041	0.0653132580495528	USR0000TLRG	SANTA ANA NWR
0.672785184577239	0.0551958499271658	US1TXCMR061	BROWNSVILLE
0.683740348579458	0.0516034368982022	USW00012919	BROWNSVILLE S PADRE ISLAND AIRPORT
0.693234362389218	0.0542264686336359	US1TXCMR094	BROWNSVILLE
0.628514411210503	0.0782817876234983	US1TXHDL021	MCALLEN
0.645501147808126	0.07298684778489	USC00419588	WESLACO
0.667958541524429	0.0735570720752016	US1TXCMR012	HARLINGEN
0.667425325577419	0.0770598784299735	USW00012904	HARLINGEN RIO GRANDE VALLEY AIRPORT
0.68860854092684	0.0770761705525538	USR0000TLAG	LAGUNA ATASCOSA
0.692458775557202	0.0670076387979076	US1TXCMR058	LAGUNA VISTA TX 
0.587269811465112	0.0891812176297416	USC00417622	RIO GRANDE CITY
0.611700796673597	0.0917146426909837	US1TXHDL005	LA JOYA
0.564729319159664	0.103941880687524	USC00413060	FALCON DAM
0.601722041093828	0.102353398735941	US1TXST0002	RIO GRANDE CITY
0.63909563156157	0.1013107028908	USW00012987	EDINBURG
0.683200207750018	0.103917442503653	USC00417184	PORT MANSFIELD
0.658485302361956	0.116063219887292	USC00417458	RAYMONDVILLE
0.575559835278165	0.142114323893246	USC00412950	ESCOBAS
0.62922767410066	0.148566004435058	US1TXBRK003	FALFURRIAS
0.664558424251934	0.157608132467143	USC00418081	SARITA 7 E
0.549231432284213	0.165672733144408	US1TXWB0009	EL CENIZO
0.611278378845446	0.167660372099209	US1TXDV0001	HEBBRONVILLE
0.655694574743186	0.174266827805534	US1TXKL0002	KINGSVILLE
0.692181780260054	0.176327781311946	USC00416739	PADRE ISLAND NATIONAL SEASHORE
0.565802675936114	0.192864285730985	US1TXWB0022	LAREDO
0.571301032584509	0.19504743015675	US1TXWB0023	FREER
0.653887180429293	0.183203057040847	USC00414810	KINGSVILLE
0.686101733487647	0.193491532450328	US1TXNU0040	CORPUS CHRISTI
0.697167695608724	0.188041817447206	US1TXNU0007	CORPUS CHRISTI
0.600717933141664	0.210989272101606	USC00413341	FREER
0.641768636179052	0.200309785750198	USW00012932	ALICE AIRPORT
0.666892109630408	0.204244333353348	USC00417677	ROBSTOWN
0.529966409367545	0.213457528672527	US1TXWB0004	LAS TIENDAS RANCH
0.645314175982551	0.220805275956257	US1TXJW0006	ORANGE GROVE
0.652308307235547	0.224430273230382	USC00415661	MATHIS 4 SSW
0.678297390990492	0.224275498065868	USC00418354	SINTON 3 NW
0.703386240029705	0.219176063698224	US1TXAR0008	ARANSAS PASS
0.709050793856389	0.225448530891653	US1TXAR0005	ROCKPORT
0.553344812446867	0.244469584004192	US1TXLS0004	ARTESIA WELLS
0.569535187565188	0.240543182462332	US1TXLS0006	ARTESIA WELLS
0.607871336690521	0.234181108594711	USC00415303	LOMA ALTA
0.637066641009958	0.235060883214049	US1TXLO0016	GEORGE WEST
0.660091875085417	0.243809753039688	US1TXBEE018	BEEVILLE
0.72642532387002	0.231403301694765	USR0000TMAT	MATAGORDA ISLAND
0.490113710990325	0.260069291374861	USC00412824	EL INDIO
0.513755259601937	0.261266762384516	USC00411486	CARRIZO SPRINGS 3 W
0.559106314627552	0.258334180320056	US1TXLS0005	COTULLA
0.618971923223742	0.259344291920037	USC00411337	CALLIHAM
0.633749622326607	0.251035309404067	US1TXLO0009	GEORGE WEST
0.641872509415482	0.254896542455606	US1TXLO0012	GEORGE WEST
0.663831311596919	0.258668168832953	USC00410639	BEEVILLE 5 NE
0.657065701464071	0.258106090603931	US1TXBEE010	BEEVILLE
0.693359010272934	0.247565087294456	US1TXRF0008	REFUGIO
0.723883892018684	0.253079970787898	USC00410436	AUSTWELL
0.737726731993673	0.25706339475879	US1TXCLH015	SEADRIFT
0.738287647470399	0.254660306678191	US1TXCLH001	SEADRIFT
0.516379790042417	0.267286701677949	US1TXDM0002	CARRIZO SPRINGS
0.563600563323785	0.266374342813451	US1TXLS0009	COTULLA
0.581155140280561	0.267563667761815	US1TXLS0003	DILLEY
0.588370867771277	0.265046534823153	US1TXMCM004	TILDEN
0.605066759306894	0.270097092823057	USC00412125	CROSS
0.633479551911887	0.26878557695534	USC00419007	THREE RIVERS 8 NE
0.659080842250825	0.26485917541348	US1TXBEE017	NORMANNA
0.687902202919111	0.274316752571363	US1TXGD0003	GOLIAD
0.704494221218299	0.27514765082296	US1TXVC0021	VICTORIA
0.783825674321589	0.27708641341002	USC00415659	MATAGORDA 2
0.50520995468491	0.287073484551765	US1TXZV0012	SOUTH FLOWING WELLS
0.514987888674247	0.293517019032287	US1TXZV0003	PALOMO LODGE
0.637634481369113	0.286495114200163	US1TXKS0003	KARNES CITY
0.663332720062052	0.288987808954954	USC00417836	RUNGE
0.67010525507733	0.281876297448638	US1TXGD0004	GOLIAD
0.684495160764186	0.289411404142043	US1TXGD0012	GOLIAD
0.700103845758497	0.289997920554934	US1TXVC0022	VICTORIA
0.714292929854922	0.288230225254968	US1TXVC0039	VICTORIA
0.724430957730552	0.284857755880839	US1TXVC0020	VICTORIA
0.724735652557415	0.286943147571122	US1TXVC0009	INEZ
0.764415228873917	0.280434444600278	USW00012935	PALACIOS AIRPORT
0.505777795044064	0.296930218712866	US1TXZV0013	TRIANGLE
0.547292465204175	0.306933581977191	US1TXFR0010	PEARSALL
0.562824976491769	0.30148386697407	US1TXFR0002	PEARSALL
0.603058543402569	0.301141732399883	US1TXAT0021	JOURDANTON
0.617316876323281	0.307169817754606	US1TXAT0025	PLEASANTON
0.635840936820077	0.299716171674104	USC00413065	FALLS CITY 7 WSW
0.667556898343565	0.306306335257849	US1TXDW0008	YORKTOWN
0.695284127588115	0.309059703973925	US1TXDW0012	CUERO
0.728558187658062	0.307927401454592	USC00412770	EDNA 7 NW
0.744810886718243	0.30637964980946	US1TXJK0005	GANADO
0.765917928360948	0.307479368083632	USC00412266	DANEVANG 1 W
0.783707951320301	0.301206900890204	USC00410569	BAY CITY WATERWORKS
0.824855602711691	0.301589765770842	USC00413340	FREEPORT 2 NW
